session_id,trial_id,repetition,label,sample,time_s,adc
20260914_141144_206684,1,1,REST,1895,1.895,1127
20260914_141144_206684,1,1,REST,1896,1.896,1143
20260914_141144_206684,1,1,REST,1897,1.897,1136
20260914_141144_206684,1,1,REST,1898,1.898,1142
20260914_141144_206684,1,1,REST,1899,1.899,1152
20260914_141144_206684,1,1,REST,1900,1.9,1151
20260914_141144_206684,1,1,REST,1901,1.901,1153
20260914_141144_206684,1,1,REST,1902,1.902,974
20260914_141144_206684,1,1,REST,1903,1.903,1153
20260914_141144_206684,1,1,REST,1904,1.904,1142
20260914_141144_206684,1,1,REST,1905,1.905,1154
20260914_141144_206684,1,1,REST,1906,1.906,1145
20260914_141144_206684,1,1,REST,1907,1.907,1136
20260914_141144_206684,1,1,REST,1908,1.908,1137
20260914_141144_206684,1,1,REST,1909,1.909,1125
20260914_141144_206684,1,1,REST,1910,1.91,1134
20260914_141144_206684,1,1,REST,1911,1.911,1121
20260914_141144_206684,1,1,REST,1912,1.912,1120
20260914_141144_206684,1,1,REST,1913,1.913,1122
20260914_141144_206684,1,1,REST,1914,1.914,1134
20260914_141144_206684,1,1,REST,1915,1.915,1133
20260914_141144_206684,1,1,REST,1916,1.916,1136
20260914_141144_206684,1,1,REST,1917,1.917,1137
20260914_141144_206684,1,1,REST,1918,1.918,1153
20260914_141144_206684,1,1,REST,1919,1.919,1146
20260914_141144_206684,1,1,REST,1920,1.92,1151
20260914_141144_206684,1,1,REST,1921,1.921,1134
20260914_141144_206684,1,1,REST,1922,1.922,1154
20260914_141144_206684,1,1,REST,1923,1.923,1151
20260914_141144_206684,1,1,REST,1924,1.924,1152
20260914_141144_206684,1,1,REST,1925,1.925,1152
20260914_141144_206684,1,1,REST,1926,1.926,1141
20260914_141144_206684,1,1,REST,1927,1.927,1111
20260914_141144_206684,1,1,REST,1928,1.928,1126
20260914_141144_206684,1,1,REST,1929,1.929,1126
20260914_141144_206684,1,1,REST,1930,1.93,1124
20260914_141144_206684,1,1,REST,1931,1.931,1119
20260914_141144_206684,1,1,REST,1932,1.932,1121
20260914_141144_206684,1,1,REST,1933,1.933,1117
20260914_141144_206684,1,1,REST,1934,1.934,1131
20260914_141144_206684,1,1,REST,1935,1.935,1142
20260914_141144_206684,1,1,REST,1936,1.936,1137
20260914_141144_206684,1,1,REST,1937,1.937,1139
20260914_141144_206684,1,1,REST,1938,1.938,1146
20260914_141144_206684,1,1,REST,1939,1.939,1151
20260914_141144_206684,1,1,REST,1940,1.94,1147
20260914_141144_206684,1,1,REST,1941,1.941,1156
20260914_141144_206684,1,1,REST,1942,1.942,1151
20260914_141144_206684,1,1,REST,1943,1.943,1149
20260914_141144_206684,1,1,REST,1944,1.944,1149
20260914_141144_206684,1,1,REST,1945,1.945,1146
20260914_141144_206684,1,1,REST,1946,1.946,1146
20260914_141144_206684,1,1,REST,1947,1.947,1136
20260914_141144_206684,1,1,REST,1948,1.948,1131
20260914_141144_206684,1,1,REST,1949,1.949,1127
20260914_141144_206684,1,1,REST,1950,1.95,1125
20260914_141144_206684,1,1,REST,1951,1.951,1119
20260914_141144_206684,1,1,REST,1952,1.952,1111
20260914_141144_206684,1,1,REST,1953,1.953,1090
20260914_141144_206684,1,1,REST,1954,1.954,1129
20260914_141144_206684,1,1,REST,1955,1.955,1129
20260914_141144_206684,1,1,REST,1956,1.956,1136
20260914_141144_206684,1,1,REST,1957,1.957,1136
20260914_141144_206684,1,1,REST,1958,1.958,1149
20260914_141144_206684,1,1,REST,1959,1.959,1154
20260914_141144_206684,1,1,REST,1960,1.96,1152
20260914_141144_206684,1,1,REST,1961,1.961,1158
20260914_141144_206684,1,1,REST,1962,1.962,1160
20260914_141144_206684,1,1,REST,1963,1.963,1158
20260914_141144_206684,1,1,REST,1964,1.964,1138
20260914_141144_206684,1,1,REST,1965,1.965,1143
20260914_141144_206684,1,1,REST,1966,1.966,1143
20260914_141144_206684,1,1,REST,1967,1.967,1177
20260914_141144_206684,1,1,REST,1968,1.968,1128
20260914_141144_206684,1,1,REST,1969,1.969,1126
20260914_141144_206684,1,1,REST,1970,1.97,1121
20260914_141144_206684,1,1,REST,1971,1.971,1120
20260914_141144_206684,1,1,REST,1972,1.972,1115
20260914_141144_206684,1,1,REST,1973,1.973,1118
20260914_141144_206684,1,1,REST,1974,1.974,1130
20260914_141144_206684,1,1,REST,1975,1.975,1115
20260914_141144_206684,1,1,REST,1976,1.976,1146
20260914_141144_206684,1,1,REST,1977,1.977,1143
20260914_141144_206684,1,1,REST,1978,1.978,1152
20260914_141144_206684,1,1,REST,1979,1.979,1153
20260914_141144_206684,1,1,REST,1980,1.98,1158
20260914_141144_206684,1,1,REST,1981,1.981,1235
20260914_141144_206684,1,1,REST,1982,1.982,1158
20260914_141144_206684,1,1,REST,1983,1.983,1152
20260914_141144_206684,1,1,REST,1984,1.984,1150
20260914_141144_206684,1,1,REST,1985,1.985,1152
20260914_141144_206684,1,1,REST,1986,1.986,1149
20260914_141144_206684,1,1,REST,1987,1.987,1141
20260914_141144_206684,1,1,REST,1988,1.988,1135
20260914_141144_206684,1,1,REST,1989,1.989,1088
20260914_141144_206684,1,1,REST,1990,1.99,1119
20260914_141144_206684,1,1,REST,1991,1.991,1117
20260914_141144_206684,1,1,REST,1992,1.992,1117
20260914_141144_206684,1,1,REST,1993,1.993,1128
20260914_141144_206684,1,1,REST,1994,1.994,1127
20260914_141144_206684,1,1,REST,1995,1.995,1126
20260914_141144_206684,1,1,REST,1996,1.996,1137
20260914_141144_206684,1,1,REST,1997,1.997,1151
20260914_141144_206684,1,1,REST,1998,1.998,1149
20260914_141144_206684,1,1,REST,1999,1.999,1167
20260914_141144_206684,1,1,REST,2000,2.0,1152
20260914_141144_206684,1,1,REST,2001,2.001,1152
20260914_141144_206684,1,1,REST,2002,2.002,1152
20260914_141144_206684,1,1,REST,2003,2.003,1157
20260914_141144_206684,1,1,REST,2004,2.004,1139
20260914_141144_206684,1,1,REST,2005,2.005,1146
20260914_141144_206684,1,1,REST,2006,2.006,1136
20260914_141144_206684,1,1,REST,2007,2.007,1136
20260914_141144_206684,1,1,REST,2008,2.008,1133
20260914_141144_206684,1,1,REST,2009,2.009,1122
20260914_141144_206684,1,1,REST,2010,2.01,1130
20260914_141144_206684,1,1,REST,2011,2.011,1129
20260914_141144_206684,1,1,REST,2012,2.012,1121
20260914_141144_206684,1,1,REST,2013,2.013,1136
20260914_141144_206684,1,1,REST,2014,2.014,1131
20260914_141144_206684,1,1,REST,2015,2.015,1138
20260914_141144_206684,1,1,REST,2016,2.016,1138
20260914_141144_206684,1,1,REST,2017,2.017,1133
20260914_141144_206684,1,1,REST,2018,2.018,1145
20260914_141144_206684,1,1,REST,2019,2.019,1122
20260914_141144_206684,1,1,REST,2020,2.02,1142
20260914_141144_206684,1,1,REST,2021,2.021,1141
20260914_141144_206684,1,1,REST,2022,2.022,1156
20260914_141144_206684,1,1,REST,2023,2.023,1142
20260914_141144_206684,1,1,REST,2024,2.024,1149
20260914_141144_206684,1,1,REST,2025,2.025,1143
20260914_141144_206684,1,1,REST,2026,2.026,1142
20260914_141144_206684,1,1,REST,2027,2.027,1135
20260914_141144_206684,1,1,REST,2028,2.028,1130
20260914_141144_206684,1,1,REST,2029,2.029,1132
20260914_141144_206684,1,1,REST,2030,2.03,1131
20260914_141144_206684,1,1,REST,2031,2.031,1130
20260914_141144_206684,1,1,REST,2032,2.032,1120
20260914_141144_206684,1,1,REST,2033,2.033,1128
20260914_141144_206684,1,1,REST,2034,2.034,1119
20260914_141144_206684,1,1,REST,2035,2.035,1131
20260914_141144_206684,1,1,REST,2036,2.036,1135
20260914_141144_206684,1,1,REST,2037,2.037,1136
20260914_141144_206684,1,1,REST,2038,2.038,1142
20260914_141144_206684,1,1,REST,2039,2.039,1152
20260914_141144_206684,1,1,REST,2040,2.04,1152
20260914_141144_206684,1,1,REST,2041,2.041,1143
20260914_141144_206684,1,1,REST,2042,2.042,1149
20260914_141144_206684,1,1,REST,2043,2.043,1152
